epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
22,69147.4,0.23658,0.33328,0.134,0.80627,0,0.99868,0.99988,0.99482,0.98474,0.99866,0.99986,0.99481,0.95842,0.17974,0.29352,0.09219,0.78487,0,0.0293763,0.0097921,0.0293763,0.0097921,0.0293763,0.0097921,0.0293763,0.0097921
23,72293.9,0.23531,0.33129,0.13375,0.80574,0,0.99867,0.99989,0.99482,0.98474,0.99865,0.99987,0.99482,0.95845,0.17944,0.29325,0.09243,0.78484,0,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
24,75473.1,0.23572,0.33146,0.13419,0.80583,0,0.99868,0.99988,0.99482,0.98468,0.99866,0.99986,0.99482,0.95842,0.17917,0.29307,0.09246,0.78477,0,0.0293169,0.0097723,0.0293169,0.0097723,0.0293169,0.0097723,0.0293169,0.0097723
25,78646.7,0.23534,0.33092,0.13338,0.80569,0,0.99868,0.99988,0.99483,0.98467,0.99866,0.99986,0.99482,0.9585,0.17901,0.29297,0.09274,0.78474,0,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
26,81803.1,0.23501,0.33055,0.13284,0.80593,0,0.99866,0.9999,0.99482,0.98476,0.99864,0.99988,0.99482,0.95836,0.17889,0.29273,0.09318,0.78471,0,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
27,84899.7,0.23527,0.33042,0.13281,0.80605,0,0.99867,0.99991,0.99482,0.98471,0.99865,0.99989,0.99481,0.95862,0.17869,0.29256,0.09301,0.78466,0,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
28,88048.5,0.23444,0.32921,0.13234,0.80572,0,0.99867,0.9999,0.99482,0.98471,0.99865,0.99988,0.99482,0.95877,0.17858,0.2922,0.09312,0.78461,0,0.0291981,0.0097327,0.0291981,0.0097327,0.0291981,0.0097327,0.0291981,0.0097327
29,91209.8,0.23432,0.32989,0.13252,0.80522,0,0.99869,0.99989,0.99482,0.98471,0.99866,0.99987,0.99482,0.95882,0.17843,0.29186,0.09316,0.78456,0,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
30,94389.2,0.23417,0.32823,0.13255,0.80563,0,0.99869,0.99989,0.99481,0.98475,0.99866,0.99987,0.99481,0.95877,0.17824,0.29147,0.09281,0.78449,0,0.0291387,0.0097129,0.0291387,0.0097129,0.0291387,0.0097129,0.0291387,0.0097129
31,97518.4,0.2334,0.32792,0.13155,0.80509,0,0.99869,0.99989,0.99481,0.98475,0.99866,0.99987,0.99481,0.95858,0.17807,0.29099,0.09254,0.78444,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
